S.No,"Task ID","Task Name","Project Name",Employee,Category,Type,Date
1,TSK-019,"Test Task 123","Vimlesh Project","ravi emp employee",Generic,EC,2020-07-31
2,TSK-018,"Vimlesh Task","Vimlesh Project","vimlesh employee",Generic,CTE,2020-07-31
3,TSK-017,"Task 2","Pro 2","ravi emp employee",Generic,EC,2020-08-01
4,TSK-016,Hdjsjsjsj,Bxxbbzuejieie,"punit kmkkdf",Generic,"6 Monthly Compliance",2020-07-31
5,TSK-015,"Test Project123",GTI1,"Gaurav Sharma",Generic,EC,2020-07-31
6,TSK-014,"GRC Module GRC Task Fuyr Sdfsdf",GTI1,"Gaurav Sharma",Generic,EC,2020-04-30
7,TSK-013,"GRC Module GRC Task Fuyr",GTI1,"Gaurav Sharma",Generic,EC,2020-04-30
8,TSK-012,"GRC Module GRC Task",GTI1,"Gaurav Sharma",Generic,EC,2020-04-30
9,TSK-011,Testjdjjfj,JIT,"Ujjval Sharma",Generic,EC,2020-08-31
10,TSK-010,Testjdj,JIT,"Ujjval Sharma",Generic,EC,2020-08-31
11,TSK-009,"Tests Project 2",GTI1,"test user test user",Generic,EC,2020-07-31
12,TSK-007,"GTI Super Fast","Temp Qq","Ujjval Sharma",Generic,EC,2020-07-24
13,TSK-005,"Test Pro Task 1","Test Pro1","Gaurav Sharma",Generic,EC,2020-07-17
14,TSK-002,Bmn,Kloudrac-GRC,"Gaurav Sharma",Generic,CTO,2020-07-12
15,TSK-001,Wdasdas,Kloudrac-GRC,"Gaurav Sharma",Specific,CTO,2020-07-25
